"type";"class";"is_tunnel";"is_bridge";"is_oneway";"is_link";"layer";"geometry"
"motorway";"highway";0;0;1;1;0;"{""type"":""LineString"",""coordinates"":[[-7910338.74964667,5213137.64107583],[-7910333.16056221,5213169.20315025],[-7910328.60718454,5213192.29403054],[-7910322.8781397,5213219.4375649],[-7910318.97791047,5213241.98569492],[-7910314.86307533,5213258.66326573],[-7910309.90847791,5213271.42711911],[-7910304.00214992,5213283.07998938],[-7910296.91082405,5213294.11424813],[-7910289.50225466,5213302.90126429],[-7910280.13423996,5213310.46365973],[-7910270.47697381,5213317.30643344],[-7910258.79494751,5213322.52057981],[-7910247.41150336,5213326.15659643],[-7910234.08727528,5213328.68160878],[-7910219.78332455,5213330.0577408],[-7910207.17755975,5213329.66636378],[-7910194.09592966,5213327.02772561],[-7910180.30516698,5213322.79833104],[-7910169.4162495,5213316.86455676],[-7910159.22713391,5213308.77190464],[-7910151.59462791,5213299.7197575],[-7910144.56861689,5213288.93799243],[-7910139.43673632,5213277.94161469],[-7910134.48213891,5213266.30137572],[-7910129.42490388,5213250.45703872],[-7910126.08451617,5213237.20084089],[-7910123.98511049,5213223.79316253],[-7910123.35995413,5213210.09513034],[-7910123.9664491,5213197.11673654],[-7910125.56199742,5213184.89585282],[-7910127.80136349,5213171.8543693],[-7910131.58962441,5213157.89129068],[-7910135.96571893,5213146.93293962],[-7910141.88137761,5213135.04036559],[-7910148.59014511,5213123.52655019],[-7910156.11068281,5213113.09847947],[-7910164.02310956,5213102.152805],[-7910171.55297795,5213094.26233241],[-7910179.68934132,5213086.27086847],[-7910190.95148648,5213077.74917265],[-7910203.20268499,5213069.92184398],[-7910216.56423583,5213062.7131325],[-7910231.48401223,5213056.98151643],[-7910249.36161797,5213051.96951138],[-7910266.36213867,5213048.40934821],[-7910283.13872276,5213045.93490934],[-7910298.8236159,5213044.63456672],[-7910316.22535635,5213044.18007809],[-7910447.95606504,5213045.56879344],[-7910474.00735691,5213046.38939806],[-7910502.42864454,5213047.65186685],[-7910529.45032837,5213049.31832591],[-7910560.26027313,5213052.23462998],[-7910593.22560772,5213056.13566149],[-7910642.54764527,5213062.34701595]]}"
"motorway";"highway";0;0;1;1;0;"{""type"":""LineString"",""coordinates"":[[-7910386.5974349,5213366.06449548],[-7910395.47092293,5213328.84573461],[-7910400.90138563,5213304.11326716],[-7910411.8089645,5213249.00516853],[-7910416.26903524,5213223.3386653],[-7910419.83335956,5213196.35924329],[-7910422.47394538,5213169.01377749],[-7910425.29181434,5213137.90619682]]}"
"motorway";"highway";0;0;1;1;0;"{""type"":""LineString"",""coordinates"":[[-7910064.48328804,5213238.1603365],[-7910038.36668132,5213360.26957025]]}"
"motorway";"highway";0;0;1;1;0;"{""type"":""LineString"",""coordinates"":[[-7910432.40180159,5213319.90719374],[-7910444.79296048,5213297.62400361],[-7910454.79546223,5213278.81273945],[-7910508.12969731,5213178.81066659],[-7910514.7264965,5213167.70079313],[-7910522.34967181,5213155.70719435],[-7910530.68197971,5213144.29435237],[-7910538.71570546,5213134.560623],[-7910546.40419561,5213125.95051017],[-7910554.06469369,5213118.26201426],[-7910561.18401163,5213111.38151009],[-7910568.69521863,5213105.22062252],[-7910577.28878591,5213099.07236372],[-7910590.84628128,5213091.1566442]]}"
"minor";"highway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910180.9769768,5213526.90980524],[-7910182.29260437,5213517.30193566],[-7910184.77456842,5213506.1032879],[-7910209.49157135,5213421.1227747],[-7910216.96545558,5213394.69829576]]}"
"minor";"highway";0;0;1;0;0;"{""type"":""LineString"",""coordinates"":[[-7910488.16201657,5213270.3161203],[-7910557.80630115,5213292.15737064]]}"
"secondary";"highway";0;0;1;0;0;"{""type"":""LineString"",""coordinates"":[[-7910399.01658586,5213378.3487387],[-7910377.44402612,5213372.83155863]]}"
"secondary";"highway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910245.25611352,5213545.87306656],[-7910276.52326218,5213438.20466774]]}"
"secondary";"highway";0;0;1;0;0;"{""type"":""LineString"",""coordinates"":[[-7910374.21560671,5213387.06008219],[-7910393.8847053,5213392.5393951]]}"
"secondary";"highway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910335.75449456,5213573.57313173],[-7910318.78196594,5213568.1315902],[-7910245.25611352,5213545.87306656],[-7910180.9769768,5213526.90980524],[-7910101.82471715,5213502.75758398],[-7910035.53015098,5213483.3777751]]}"
